name1,name2
Mary Springstead,A. Wheaton
Mary Springstead,Charles D. Miller
Mary Springstead,Anne V. Adams
Mary Springstead,S. R. Ward
Mary Springstead,Goodell
Mary Springstead,H. Burleigh
Mary Springstead,Loguen
Mary Springstead,E. L. Platt
Mary Springstead,Theodosia Gilbert
Mary Springstead,Chaplin
Mary Springstead,Charles A. Wheaton
Mary Springstead,G. W. Clark
Mary Springstead,Wm. R. Smith
Mary Springstead,George W. Lawson
Mary Springstead,Cyrus P. Grosvenor
Mary Springstead,G. W. Johnson
Mary Springstead,N. Y.
Mary Springstead,Francis Jackson
Mary Springstead,John G. Whittier
Mary Springstead,Silas Cornell
Mary Springstead,Thomas Davis
Mary Springstead,C. D. Cleveland
Mary Springstead,E. M. Davis
Mary Springstead,C. C. Foote
Mary Springstead,Hon J. R. Giddings
Mary Springstead,G. W. Julian
Mary Springstead,C. Durkee
Mary Springstead,Wilson
Mary Springstead,George W. Clark
Mary Springstead,Edmonson
Mary Springstead,Daniel Webster
Mary Springstead,John Mclean
Mary Springstead,Mclean
Mary Springstead,Moses Stuart
Mary Springstead,F. Julius Lemoyne
Mary Springstead,William Goodell
Mary Springstead,Smith
Mary Springstead,Lemoyne
Mary Springstead,Christ
Mary Springstead,Wm. L. Chaplin
Mary Springstead,Charles T. Torrey
Mary Springstead,Drayton
Mary Springstead,Sayre
Mary Springstead,Harris
James Baker,Fordyce Rice
James Baker,Caroline Brown
James Baker,James C. Jackson
James Baker,William L. Chaplin
James Baker,Joseph C. Hathaway
James Baker,William R. Smith
James Baker,Eleazer Seymour
James Baker,F. Rice
James Baker,Phebe Hathaway
James Baker,Louisa Burnett
James Baker,Frederick Douglass
James Baker,Francis Hawley
James Baker,Chas
James Baker,B. Ray
James Baker,A. Wheaton
James Baker,Charles D. Miller
James Baker,Anne V. Adams
James Baker,S. R. Ward
James Baker,Goodell
James Baker,H. Burleigh
James Baker,Loguen
James Baker,E. L. Platt
James Baker,Theodosia Gilbert
James Baker,Chaplin
James Baker,Charles A. Wheaton
James Baker,G. W. Clark
James Baker,Wm. R. Smith
James Baker,George W. Lawson
James Baker,Cyrus P. Grosvenor
James Baker,G. W. Johnson
James Baker,N. Y.
James Baker,Francis Jackson
James Baker,John G. Whittier
James Baker,Silas Cornell
James Baker,Thomas Davis
James Baker,C. D. Cleveland
James Baker,E. M. Davis
James Baker,C. C. Foote
James Baker,Hon J. R. Giddings
James Baker,G. W. Julian
James Baker,C. Durkee
James Baker,Wilson
James Baker,George W. Clark
James Baker,Edmonson
James Baker,Daniel Webster
James Baker,John Mclean
James Baker,Mclean
James Baker,Moses Stuart
James Baker,F. Julius Lemoyne
James Baker,William Goodell
James Baker,Smith
James Baker,Lemoyne
James Baker,Christ
James Baker,Wm. L. Chaplin
James Baker,Charles T. Torrey
James Baker,Drayton
James Baker,Sayre
James Baker,Harris
Fordyce Rice,Caroline Brown
Fordyce Rice,James C. Jackson
Fordyce Rice,William L. Chaplin
Fordyce Rice,Joseph C. Hathaway
Fordyce Rice,William R. Smith
Fordyce Rice,Eleazer Seymour
Fordyce Rice,F. Rice
Fordyce Rice,Phebe Hathaway
Fordyce Rice,Louisa Burnett
Fordyce Rice,Frederick Douglass
Fordyce Rice,Francis Hawley
Fordyce Rice,Chas
Fordyce Rice,B. Ray
Fordyce Rice,A. Wheaton
Fordyce Rice,Charles D. Miller
Fordyce Rice,Anne V. Adams
Fordyce Rice,S. R. Ward
Fordyce Rice,Goodell
Fordyce Rice,H. Burleigh
Fordyce Rice,Loguen
Fordyce Rice,E. L. Platt
Fordyce Rice,Theodosia Gilbert
Fordyce Rice,Chaplin
Fordyce Rice,Charles A. Wheaton
Fordyce Rice,G. W. Clark
Fordyce Rice,Wm. R. Smith
Fordyce Rice,George W. Lawson
Fordyce Rice,Cyrus P. Grosvenor
Fordyce Rice,G. W. Johnson
Fordyce Rice,N. Y.
Fordyce Rice,Francis Jackson
Fordyce Rice,John G. Whittier
Fordyce Rice,Silas Cornell
Fordyce Rice,Thomas Davis
Fordyce Rice,C. D. Cleveland
