source,target
Henry Sipkins,Benjamin Latimore
Henry Sipkins,Schuyler
Henry Sipkins,Francis March
Henry Sipkins,D. C. -- William Jackson
Henry Sipkins,Arthur Waring
Henry Sipkins,Isaac Carey
Henry Sipkins,Charles Butler
Henry Sipkins,Jared Grey
Henry Sipkins,Carlisle
Henry Sipkins,John Peck
Henry Sipkins,Rowland G. Roberts
Henry Sipkins,Dennis Berry
Henry Sipkins,John B. Vashon
Henry Sipkins,Lewis Gardiner
Henry Sipkins,Abraham Lewis
Henry Sipkins,N. J.
Henry Sipkins,Peter Petitt
Henry Sipkins,Charles Anderson
Henry Sipkins,Adam Ray
Henry Sipkins,Sampson Peters
Henry Sipkins,Leonard Scott
Henry Sipkins,Frederick A. Hinton
Henry Sipkins,Joseph Casey
Henry Sipkins,Charles H. Leveck
Henry Sipkins,Thomas L. Jennings
Henry Sipkins,Henry H. Mondy
Henry Sipkins,Abner Cocker
Henry Sipkins,George C. Willis
Henry Sipkins,Alfred Niger
Henry Sipkins,William Wormley
Henry Sipkins,John W. Prout
Henry Sipkins,James Wilkins
Henry Sipkins,Scipio C. Augustus
Henry Sipkins,Charles Hatfield
Henry Sipkins,John Liverpool
Henry Sipkins,John P. Thompson
Henry Sipkins,Shipley
Henry Sipkins,Lundy
Henry Sipkins,Peirce
Henry Sipkins,Long-Island
Henry Sipkins,Lewis G. Wells
L. Jennings,Wm. Hamilton
L. Jennings,James Pennington
L. Jennings,Abner Coker
L. Jennings,Robert Cowley
L. Jennings,Abraham D. Shad
L. Jennings,Peter Gardiner
L. Jennings,Wm. Duncan
L. Jennings,W. Miller
L. Jennings,William Duncan
L. Jennings,Willliam Whipper
L. Jennings,Charles W. Gardiner
L. Jennings,Samuel Todd
L. Jennings,Morel
L. Jennings,Duncan
L. Jennings,Cowley
L. Jennings,Jennings
L. Jennings,S. S. Jocelyn
L. Jennings,Arthur Tappan
L. Jennings,Benjamin Lundy
L. Jennings,William L. Garrison
L. Jennings,Thomas Shipley
L. Jennings,Charles Pierce
L. Jennings,Jocelyn
L. Jennings,Tappan
L. Jennings,Garrison
L. Jennings,New-Haven
L. Jennings,Samuel E. Cornish
L. Jennings,Hosea Reiston
L. Jennings,Robert Roberts
L. Jennings,James G. Barbadoes
L. Jennings,Samuel Snowden
L. Jennings,Peter Williams
L. Jennings,Philip Bell
L. Jennings,Thomas Downing
L. Jennings,Peter Voglesang
L. Jennings,Joseph Cassey
L. Jennings,Robert Douglass
L. Jennings,James Forten
L. Jennings,Richard Howell
L. Jennings,Robert Purvis
L. Jennings,Thomas Green
L. Jennings,James P. Walker
L. Jennings,Samuel G. Mathews
L. Jennings,Isaac Whipper
L. Jennings,Samuel Hiner
L. Jennings,Biars Stanley
L. Jennings,John Creed
L. Jennings,Alexander C. Luca
L. Jennings,L. I. -- Jacob Deyes
L. Jennings,Henry Thomson
L. Jennings,Willis Jones
L. Jennings,Peter Spencer
L. Jennings,Jacob Morgan
L. Jennings,William S. Thomas
L. Jennings,Benjamin Latimore
L. Jennings,Schuyler
L. Jennings,Francis March
L. Jennings,D. C. -- William Jackson
L. Jennings,Arthur Waring
L. Jennings,Isaac Carey
L. Jennings,Charles Butler
L. Jennings,Jared Grey
L. Jennings,Carlisle
L. Jennings,John Peck
L. Jennings,Rowland G. Roberts
L. Jennings,Dennis Berry
L. Jennings,John B. Vashon
L. Jennings,Lewis Gardiner
L. Jennings,Abraham Lewis
L. Jennings,N. J.
L. Jennings,Peter Petitt
L. Jennings,Charles Anderson
L. Jennings,Adam Ray
L. Jennings,Sampson Peters
L. Jennings,Leonard Scott
L. Jennings,Frederick A. Hinton
L. Jennings,Joseph Casey
L. Jennings,Charles H. Leveck
L. Jennings,Thomas L. Jennings
L. Jennings,Henry H. Mondy
L. Jennings,Abner Cocker
L. Jennings,George C. Willis
L. Jennings,Alfred Niger
L. Jennings,William Wormley
L. Jennings,John W. Prout
L. Jennings,James Wilkins
L. Jennings,Scipio C. Augustus
L. Jennings,Charles Hatfield
L. Jennings,John Liverpool
L. Jennings,John P. Thompson
L. Jennings,Shipley
L. Jennings,Lundy
L. Jennings,Peirce
L. Jennings,Long-Island
L. Jennings,Lewis G. Wells
Wm. Hamilton,James Pennington
Wm. Hamilton,Abner Coker
Wm. Hamilton,Robert Cowley
Wm. Hamilton,Abraham D. Shad
Wm. Hamilton,Peter Gardiner
Wm. Hamilton,Wm. Duncan
Wm. Hamilton,W. Miller
Wm. Hamilton,William Duncan
Wm. Hamilton,Willliam Whipper
Wm. Hamilton,Charles W. Gardiner
