Date,ID,URL
1865-06-06,1865.CT-06.06.NEWH.02,http://coloredconventions.org/admin/items/show/1220
1847-11-06,1847.NY-11.06.TROY.01,n/a
1865-07-04,1865.DC-07.04.WASH.01,
1866-11-06,1866.IN-11.06.INDI.02,n/a
1869-07-14,1869.KY-07.14.LOUI.01,http://coloredconventions.org/admin/items/show/534
1870-01-01,1870.LA-01.01.NEWO.01,http://coloredconventions.org/admin/items/show/538
1871-09-22,1871.MO-09.22.STLO.02,http://coloredconventions.org/admin/items/show/542
1871-09-22,1871.MO-09.22.STLO.01,n/a
1872-04-10,1872.LA-04.10.NEWO.01,http://coloredconventions.org/admin/items/show/544
1872-01-01,1872.MA-01.01.BOST.01,n/a
1872-05-09,1872.NY-05.09.TROY.01,http://coloredconventions.org/admin/items/show/545
1873-03-11,1873.DC-03.11.WASH.01,n/a
1873-12-18,1873.DC-12.18.WASH.01,http://coloredconventions.org/admin/items/show/546
1876-07-08,1876.SC-07.08.CHAR.01,n/a
1877-01-01,1877.TN-01.01.RALE.01,http://coloredconventions.org/admin/items/show/551
1883-08-28,1883.AR-08.28.LITT.01,http://coloredconventions.org/admin/items/show/553
1883-08-28,1883.AR-08.28.LITT.01,n/a
1883-09-24,1883.KY-09.24.LOUI.02,n/a
1883-07-10,1883.TX-07.10.AUST.03,
1843-08-01,1843.OH-08.01.COLU.01,n/a
1844-09-18,1844.OH-09.18.COLU.01,http://coloredconventions.org/admin/items/show/1064
1851-11-06,1851.PA-11.06.SAND.01,n/a
1866-11-06,1866.IN-11.06.INDI.01,n/a
1869-01-01,1869.MN-01.01.STPA.01,http://coloredconventions.org/admin/items/show/536
1869-05-27,1869.VA-05.27.RICH.01,http://coloredconventions.org/admin/items/show/537
1871-09-22,1871.MO-09.22.STLO.03,n/a
1871-01-18,1871.OH-01.18.COLU.01,http://coloredconventions.org/admin/items/show/541
1872-12-13,1872.NY-12.13.NEWY.01,http://coloredconventions.org/admin/items/show/322
1873-01-09,1873.DE-01.09.DOVE.01,http://coloredconventions.org/admin/items/show/297
1873-11-18,1873.LA-11.18.NEWO.01,http://coloredconventions.org/admin/items/show/547
1874-01-01,1874.TN-01.01.NASH.01,http://coloredconventions.org/admin/items/show/549
1874-01-01,1874.TN-01.01.NASH.02,n/a
1875-08-04,1875.OH-08.04.CINC.01,http://coloredconventions.org/admin/items/show/455
1880-02-17,1880.TX-02.17.DALL.01,http://coloredconventions.org/admin/items/show/618
1882-04-27,1882.KS-04.27.PARS.01,http://coloredconventions.org/admin/items/show/552
1883-07-10,1883.TX-07.10.AUST.02,http://coloredconventions.org/admin/items/show/556
1884-02-05,1884.FL-02.05.GAIN.02,n/a
1884-02-05,1884.FL-02.05.GAIN.03,n/a
1888-01-25,1888.GA-01.25.MACO.01,http://coloredconventions.org/admin/items/show/557
1889-08-20,1889.TX-08.20.WACO.01,http://coloredconventions.org/admin/items/show/1077
1865-11-20,1865.AL-11.20.MOBI.01,
1871-10-18,1871.SC-10.18.COLU.02,
1872-04-10,1872.LA-04.10.NEWO.02,
