source,target
Ephraim Lawson,Charles Dobson
Ephraim Lawson,Talbot
Ephraim Lawson,Wyman
Ephraim Lawson,Joseph Bantem
Ephraim Lawson,O. Fisher
Ephraim Lawson,H. Walker
Ephraim Lawson,Thomas Buller
Ephraim Lawson,Daniel J. Ross
Wm. Tasker,F. Harris
Wm. Tasker,James A. Jones
Wm. Tasker,Harris
Wm. Tasker,Stephen W. Hill
Wm. Tasker,Chas
Wm. Tasker,Williamson
Wm. Tasker,James A. Jackson
Wm. Tasker,Nicholas Penn
Wm. Tasker,Patrick Henry
Wm. Tasker,Handy
Wm. Tasker,Jesus Christ
Wm. Tasker,Perkins
Wm. Tasker,Daniel Koburn
Wm. Tasker,Charles Dobson
Wm. Tasker,Talbot
Wm. Tasker,Wyman
Wm. Tasker,Joseph Bantem
Wm. Tasker,O. Fisher
Wm. Tasker,H. Walker
Wm. Tasker,Thomas Buller
Wm. Tasker,Daniel J. Ross
F. Harris,James A. Jones
F. Harris,Harris
F. Harris,Stephen W. Hill
F. Harris,Chas
F. Harris,Williamson
F. Harris,James A. Jackson
F. Harris,Nicholas Penn
F. Harris,Patrick Henry
F. Harris,Handy
F. Harris,Jesus Christ
F. Harris,Perkins
F. Harris,Daniel Koburn
F. Harris,Charles Dobson
F. Harris,Talbot
F. Harris,Wyman
F. Harris,Joseph Bantem
F. Harris,O. Fisher
F. Harris,H. Walker
F. Harris,Thomas Buller
F. Harris,Daniel J. Ross
James A. Jones,Harris
James A. Jones,Stephen W. Hill
James A. Jones,Chas
James A. Jones,Williamson
James A. Jones,James A. Jackson
James A. Jones,Nicholas Penn
James A. Jones,Patrick Henry
James A. Jones,Handy
James A. Jones,Jesus Christ
James A. Jones,Perkins
James A. Jones,Daniel Koburn
James A. Jones,Charles Dobson
James A. Jones,Talbot
James A. Jones,Wyman
James A. Jones,Joseph Bantem
James A. Jones,O. Fisher
James A. Jones,H. Walker
James A. Jones,Thomas Buller
James A. Jones,Daniel J. Ross
Harris,Stephen W. Hill
Harris,Chas
Harris,Williamson
Harris,James A. Jackson
Harris,Nicholas Penn
Harris,Patrick Henry
Harris,Handy
