Label,modularity_class
John Morun,10
John C. Bowers,10
John Winer,10
Robert Jones,10
Isaac J. White,10
P. Clay,10
Jos. Cassy,10
Littleton Hubert,10
Jacob Reed,10
Jones Willson,10
Richard Wilson,10
George L. Frisby,10
Moses Worthington,10
Henry Cornish,10
Robert Barger,10
Yates,14
George Milbern,10
Parmer Johnson,10
Walter Burr,10
Wm. Knight,10
Wm. Woods,10
Jacob Trusty,10
J. Primrose,10
Robert M. Smith,10
John Charles Fortie,10
Samuel Watts,10
James Willams,10
George Simpson,10
Isaiah Wears,10
John E. Moore,10
Joseph Green,10
Gidion Lewis,10
David Lomax,10
Joseph Louis,10
Thomas H. Queen,10
Daniel Koburn,10
Joshua Woodland,10
Wm. H. Sumner,10
William Washington,10
Randolph,15
Henderson Davis,10
John Wilson,10
James C. Watson,10
Giles Scott,10
Benjamin Harris,10
William Jackson,10
John B. Roberts,10
J. H. Townsend,14
Joseph Thomas,10
Benjamin Freeman,10
John Williams,10
Smithie,10
H. Gibbons,10
Darby,10
Amos Waterman,10
Gideon Lewis,10
Levy Anderson,10
Alex. Crummell,10
J. W. Admas,10
A Crummell,10
C. P. Rogers,10
Stehen Smith,10
Williams B. Adams,10
Crummill,10
Ignatius Beck,10
J.W. Addams,10
George Amos,10
E. P. Rorgers,10
H. Davis,10
H.H. Webb,10
D. A. Payne,10
Jno,10
F. Cook,10
Francis Datcher,10
Jos. Warren,10
Collins,14
Enoch Bell,10
T. Watkins,10
Daniel W. Moore,10
Joseph Lewis,10
D. Coburn,10
H. C. Turner,10
Lea,10
J. C. Fortie,10
M. R. Delany,10
F. Davis,10
J. Cole,10
D. Mahony,10
R. Thomas,10
S. Holcomb,10
J. Smith,14
B. Steward,10
C. Caldwell,10
O. P. Hoyt,3
Wm. Lambert,3
Wm. C. Monroe,3
F. Delany,3
O.P. Hoyt,3
W. C. Monroe,5
W. R. Wilson,3
Lambert,3
Brooks,14
M. J. Lightfoot,3
A. Derrick,3
J. W. Brooks,13
A. Aray,3
G. B. Blanks,3
Marshall,12
Richard Gordon,3
W.C. Monroe,3
William Dolerson,3
William Lambert,3
Willis R. Wilson,3
Alford Derrick,3
Madison J. Lightfoot,3
Robert Allen,1
George R. Sims,3
Henry Bibb,13
Othello P. Hoyt,3
Calvin Hackett,3
Henry Calvin,3
A. R. West,3
William Smith,5
W. Hardy,3
John Rigs,3
Nelson Ockry,3
Asher Aray,3
Thomas Freeman,3
Dolerson,3
J.W. Brooks,3
P. Hoyt,3
Sharon,3
William Hardy,3
George W. Tucker,3
Almond Goff,3
H. Bibb,3
Wm. Dolerson,3
R. Allen,13
Ockry,3
R. Gordon,12
Jabez M. Fitch,3
Clarkson,3
Lovejoy,3
John Riggs,3
J. Anderson,3
J. Brooks,3
Green,5
Lycurgus,3
Napoleon,13
Herodotus,3
Calvin Hacket,3
Calhoun,3
John Smith,3
Samuel Dickerson,3
Henry Powers,3
Jefferson Fitzgerald,3
Gordon,14
Wm. Smith,3
Bibb,3
Frederick Douglass,5
William Wilberforce,3
Thomas Clarkson,3
Granville Sharpe,3
Wilberforce,3
Elijah P. Lovejoy,3
Nathanael Greene,3
Christopher Greene,5
Philip S. Foner,3
Pindar,3
Pythagoras,3
Plato,3
Socrates,3
Strabo,3
Apollonius Rhodius,3
Rhodes,3
A. J. Gorden,1
Henry Highland Garnit,1
Samuel H. Davis,1
James Fountain,1
Davis,15
Henry Thomas,1
J.H. Townsend,1
Ware,1
Robert Banks,1
F. Douglass,1
D. Lewis,13
N. W. Jones,1
W. W. Brown,1
Chas,5
B. Ray,1
H. H. Garnit,1
R. Francis,1
Frederic Douglass,1
C.L. Remond,1
A.G. Beman,1
Amos G. Beman,1
F. Piere,1
W. W. Matthews,1
H. Johnson,15
W. Duffin,1
David Lewis,14
C. Lennox Remond,1
M. C. Munro,1
Townsend,14
N. W.Jones,1
Weir,1
Morris,14
C. L. Remond,9
James N. Gloucester,1
Fred,13
A. G. Beman,1
N. Y. City,1
Wm. P. Mcintire,1
John Wendall,1
T. Woodson,1
B. S. Anderson,1
Jason Jeffrey,1
Noah Palk,1
H. W. Johnson,1
James Sharpe,1
Ralph Francis,1
J. P. Morris,1
R. H. Johnson,1
Wm. Sanders,1
David Wycoff,1
Harrison Powell,1
James P. Jackson,1
John Granbia,1
Phelps,14
Albert Outley,1
Sampson Talbot,1
K. B. Dunlap,1
J. F. Platt,1
Penn Yan,1
Uriah Lett,1
George Weir,1
S. H. Davis,1
Jermin W. Loguen,1
J. H. Malvin,1
H. Robinson,1
David Jenkins,5
J. M. Cordozer,1
A. M. Sumner,1
W. H. Yancy,1
Wm. Watson,1
R. Banks,14
W. C. Munro,1
G. W. Tucker,1
Nimrod W. Jones,1
Luke Dod,1
Thomas Pollock,1
Joseph Roxbury,1
H.H. Garnit,1
R.H. Johnson,1
W.C. Munro,1
E.B. Dunlap,1
J. Sharpe,1
Wright,15
S.H. Davis,1
J. H. Platt,1
J. Jeffrey,1
J. N. Gloucester,1
S. Talbot,1
Charles Lennox Remond,1
W. P. Mcintire,1
B.S. Anderson,1
J. Fountain,1
W. Sanders,1
A. Outley,1
E. B. Dunlap,1
U. Lett,1
J. W. Loguen,13
J. Wandall,1
G. Weir,1
J. Malvin,1
D. Jenkins,5
N. Polk,1
H. Powell,1
J. P. Jackson,1
J. Granbia,1
R. Robertson,1
A. M. Summer,1
W. Watson,1
Garnit,1
Nat Turner,1
Mcintosh,1
Madison Washington,1
